"Genotype","Hundred.Seed.Weight","Oil.Dry.basis","Protein.Dry.basis"
"N18-1734",14.0999999999992,21.969999999999,45.3699999999958
"N18-1735",13.0499999999992,20.989999999999,46.5149999999958
"N18-1736",13.6999999999992,21.729999999999,46.1299999999958
"N18-1737",15.1999999999992,21.724999999999,45.8649999999958
"N18-1738",16.2999999999992,18.894999999999,50.2599999999958
"N18-1741",18.1999999999992,20.069999999999,48.4349999999958
"N18-1745",16.2499999999992,21.629999999999,44.2099999999958
"N18-1748",13.8999999999992,21.759999999999,43.5449999999958
"N18-1749",14.6499999999992,21.594999999999,43.5899999999958
"N18-1750",12.4499999999992,22.124999999999,44.0549999999958
"N18-1751",16.4499999999992,22.349999999999,43.4349999999958
"N18-1752",17.0999999999992,20.144999999999,48.3999999999958
"N18-1753",18.7999999999992,22.299999999999,45.0399999999958
"N18-1755",17.4499999999992,19.969999999999,48.9199999999958
"N18-1756",15.1499999999992,20.799999999999,46.6299999999958
"N18-1757",16.4999999999992,21.339999999999,44.7149999999958
"N18-1758",16.5499999999992,22.269999999999,44.5749999999958
"N18-1759",14.1999999999992,21.139999999999,45.8249999999958
"N18-1760",18.9999999999992,19.654999999999,49.0749999999958
"N18-1761",15.4999999999992,21.314999999999,48.0349999999958
"N18-1762",17.4499999999992,20.054999999999,49.2349999999958
"N18-1763",15.8499999999992,21.364999999999,45.8649999999958
"N18-1764",13.2499999999992,21.609999999999,44.8649999999958
"N18-1765",17.0499999999992,22.009999999999,44.4299999999958
"N18-1766",17.0999999999992,21.609999999999,45.4399999999958
"N18-1767",19.0999999999992,20.799999999999,47.5949999999958
"N18-1768",16.8999999999992,24.129999999999,41.4949999999958
"N18-1769",14.4499999999992,21.774999999999,46.3149999999958
"N18-1771",16.8999999999992,20.509999999999,48.4099999999958
"N18-1772",14.9499999999992,21.304999999999,45.2549999999958
"N18-1773",15.8499999999992,21.579999999999,43.4099999999958
"N18-1774",16.5999999999992,20.799999999999,45.5549999999958
"N18-1776",14.3499999999992,21.764999999999,45.1799999999958
"N18-1777",16.0499999999992,21.279999999999,43.6899999999958
"N18-1780",20.3999999999992,21.559999999999,46.2199999999958
"N18-1781",19.6999999999992,21.219999999999,46.0649999999958
"N18-1782",18.0999999999992,23.449999999999,42.6999999999958
"N18-1783",14.8999999999992,22.409999999999,44.8349999999958
"N18-1784",17.1499999999992,20.084999999999,47.9549999999958
"N18-1785",16.4999999999992,20.594999999999,47.6949999999958
"N18-1786",16.0999999999992,19.639999999999,48.2049999999958
"N18-1787",14.4999999999992,20.939999999999,45.7699999999958
"N18-1788",19.2499999999992,21.049999999999,48.5699999999958
"N18-1789",19.8499999999992,20.594999999999,46.2449999999958
"N18-1790",15.3999999999992,21.819999999999,44.1849999999958
"N18-1791",15.3499999999992,22.289999999999,44.9449999999958
"N18-1792",16.9999999999992,21.439999999999,46.8199999999958
"N18-1793",14.6499999999992,20.869999999999,46.4899999999958
"N18-1794",14.7499999999992,19.844999999999,48.2049999999958
"N18-1795",16.0499999999992,21.794999999999,44.8499999999958
"N18-1797",16.3999999999992,22.304999999999,44.4699999999958
"N18-1798",15.4499999999992,22.544999999999,45.5599999999958
"N18-1799",19.1999999999992,21.789999999999,44.7799999999958
"N18-1800",19.6499999999992,20.579999999999,46.6749999999958
"N18-1801",17.4999999999992,23.214999999999,44.1899999999958
"N18-1802",13.7999999999992,19.864999999999,46.5049999999958
"N18-1803",13.8499999999992,22.084999999999,43.1749999999958
"N18-1804",17.2499999999992,19.644999999999,49.5049999999958
"N18-1805",15.3999999999992,21.769999999999,44.6049999999958
"N18-1806",16.7499999999992,20.104999999999,48.6149999999958
"N18-1807",15.8999999999992,22.604999999999,43.2399999999958
"N18-1808",15.9499999999992,21.954999999999,45.3549999999958
"N18-1809",14.2999999999992,21.154999999999,47.6749999999958
"N18-1810",14.9999999999992,20.969999999999,44.5799999999958
"N18-1811",17.6999999999992,21.629999999999,45.3099999999958
"N18-1812",14.7499999999992,21.899999999999,43.9099999999958
"N18-1813",15.8999999999992,23.064999999999,45.0249999999958
"N18-1814",12.0499999999992,22.514999999999,42.9199999999958
"N18-1816",17.0999999999992,20.199999999999,48.5049999999958
"N18-1817",16.3999999999992,20.634999999999,46.4699999999958
"N18-1818",15.3499999999992,19.684999999999,47.8799999999958
"N18-1819",18.3999999999992,21.604999999999,45.3099999999958
"N18-1820",15.8499999999992,23.299999999999,41.8949999999958
"N18-1821",16.9499999999992,21.779999999999,43.7499999999958
"N18-1822",17.6499999999992,19.784999999999,47.9749999999958
"N18-1823",18.4999999999992,21.899999999999,43.6949999999958
"N18-1824",17.2999999999992,21.709999999999,45.4799999999958
"N18-1825",16.3499999999992,22.539999999999,45.8349999999958
"N18-1826",15.6499999999992,23.209999999999,43.2649999999958
